BLK words,frequency
and,1061
the,809
blackrock,571
for,218
with,211
that,206
management,200
its,186
investment,147
are,142
bis,124
sustainability,122
disclosure,118
esg,100
employees,97
not,94
information,90
risk,90
their,85
this,84
including,81
business,80
which,79
company,79
criteria,71
sasb,70
human,69
companies,69
standards,67
employee,66
policy,65
engagement,64
rights,62
all,59
where,57
risks,57
inc,57
approach,55
related,55
from,55
sustainable,54
funds,54
has,53
financial,53
global,49
any,49
these,47
capital,47
activities,45
clients,45
firm,45
team,44
through,43
policies,43
efforts,43
practices,42
public,42
impact,42
social,42
environmental,42
under,41
health,41
such,41
issues,40
support,40
material,40
may,39
term,39
have,39
long,38
other,38
well,37
safety,37
available,37
asset,36
reporting,36
also,35
climate,35
description,35
strategy,35
metrics,34
year,34
data,34
review,34
investors,33
fund,33
how,33
investments,33
about,32
they,31
liquidity,31
report,31
political,31
integration,31
provide,31
board,30
was,30
those,30
products,29
across,29
processes,29
total,29
more,29
operations,29
discussion,28
natural,28
corporate,28
stewardship,28
see,28
relevant,28
conduct,27
goals,27
principles,27
analysis,27
benefits,26
market,26
value,26
assets,26
believes,26
local,26
help,26
securities,26
opportunities,25
strategies,25
december,25
communities,25
deloitte,25
diversity,25
voting,24
into,24
form,24
community,24
portfolio,24
applicable,24
can,24
governance,24
our,24
dedicated,23
suppliers,23
statements,23
investing,23
progress,23
code,23
will,23
were,22
responsible,22
supply,22
factors,22
development,22
diverse,22
against,21
reviews,21
committed,21
quantitative,21
chain,21
ungc,21
included,21
subject,21
does,21
managers,21
impacts,21
services,21
disclosures,20
accordingly,20
contributions,20
portfolios,20
new,20
time,20
ethics,19
regulations,19
each,19
managing,19
trade,19
laws,19
include,19
made,18
associated,18
within,18
address,18
one,18
performance,18
regulatory,18
associations,18
below,18
based,18
work,18
product,18
program,18
annual,17
end,17
addition,17
part,17
section,17
consistent,17
process,17
being,17
non,17
standard,17
includes,17
meet,17
proposals,17
shareholder,17
directors,17
programs,17
executive,17
over,17
dei,16
note,16
aum,16
action,16
industry,16
manage,16
additional,16
teams,16
should,16
legal,16
level,16
provides,16
labor,16
resources,16
party,16
assurance,16
forward,16
international,16
client,15
behalf,15
concerns,15
organizations,15
january,15
framework,15
considered,15
disclose,15
managed,15
oversight,15
website,15
environment,15
priorities,15
eligible,15
million,15
third,15
while,15
engaged,15
specific,15
defines,14
aligned,14
given,14
when,14
stakeholders,14
required,14
designed,14
assessment,14
reports,14
considerations,14
objectives,14
looking,14
but,14
exposure,14
appropriate,14
describe,14
please,14
express,14
conclusion,14
respect,14
topics,14
set,14
expectations,13
change,13
creation,13
make,13
anti,13
supplier,13
identify,13
committee,13
frameworks,13
potential,13
screens,13
different,13
senior,13
research,13
biodiversity,13
positions,13
them,13
provided,13
group,13
talent,12
markets,12
limited,12
sec,12
certain,12
screened,12
engages,12
whether,12
due,12
harassment,12
discuss,12
better,12
charitable,12
focused,12
shareholders,12
key,12
paid,12
metric,12
been,12
understand,12
inclusion,12
basis,12
who,12
number,12
covered,11
representation,11
could,11
integrated,11
focus,11
order,11
institutional,11
monetary,11
relating,11
equity,11
response,11
compliance,11
training,11
many,11
united,11
specified,11
redemptions,11
offers,11
best,11
procedures,11
employment,11
two,11
job,11
open,11
responsibility,11
publicly,11
transparency,11
partnerships,11
accordance,11
line,11
exhibit,11
increase,11
considers,11
regarding,11
result,11
mutual,11
tcfd,11
guidelines,11
racial,10
baseline,10
trading,10
federal,10
ecological,10
access,10
custody,10
feedback,10
culture,10
expects,10
views,10
women,10
used,10
proposal,10
matters,10
customers,10
advance,10
had,10
developed,10
registered,10
operates,10
engage,10
use,10
there,10
annually,10
leaders,10
active,10
diligence,10
working,10
seeks,10
volunteering,10
defined,10
assertion,10
fair,9
out,9
proceedings,9
foundation,9
variety,9
economic,9
between,9
statement,9
above,9
workplace,9
internal,9
commitment,9
important,9
groups,9
function,9
advisory,9
credit,9
lending,9
incorporation,9
corruption,9
security,9
actions,9
custodian,9
both,9
emergency,9
engagements,9
association,9
institute,9
private,9
encourages,9
rqa,9
net,9
people,9
following,9
broker,9
equal,9
opportunity,9
covid,8
percentage,8
transactions,8
physical,8
globally,8
assumptions,8
promote,8
networks,8
discussed,8
transition,8
disclosed,8
conducted,8
quality,8
most,8
several,8
organization,8
during,8
land,8
sector,8
growth,8
collateral,8
decisions,8
established,8
members,8
act,8
themes,8
makes,8
volunteer,8
energy,8
build,8
issue,8
classification,8
initiative,8
activity,8
american,8
cash,8
wide,8
range,8
ended,8
reasonable,8
supports,8
solutions,8
com,8
amount,8
reported,8
states,8
gifts,8
life,8
real,8
voted,8
participation,7
workers,7
independent,7
employ,7
leadership,7
communication,7
plans,7
initiatives,7
eeo,7
philanthropic,7
businesses,7
banks,7
topic,7
separate,7
universal,7
accountable,7
aware,7
owned,7
objective,7
veteran,7
list,7
per,7
arise,7
reduce,7
role,7
system,7
indigenous,7
external,7
makers,7
retail,7
case,7
apply,7
permitted,7
partners,7
engaging,7
assessments,7
committees,7
maintains,7
plan,7
individuals,7
black,7
finance,7
etfs,7
platform,7
incorporate,7
world,7
swing,7
accounting,7
regularly,7
than,7
rule,7
vendor,7
guide,7
requirements,7
detailed,7
ethnic,7
regulation,7
learning,7
monitoring,7
ishares,7
competitive,7
characteristics,7
represents,7
derivatives,7
future,7
advanced,7
events,6
minimum,6
found,6
contribution,6
integrity,6
borrower,6
exchange,6
adopt,6
insights,6
state,6
necessary,6
areas,6
retirement,6
additionally,6
identified,6
informed,6
proxy,6
marketing,6
maintain,6
manager,6
votes,6
presentation,6
purpose,6
kind,6
take,6
table,6
boards,6
only,6
index,6
concern,6
control,6
commission,6
participant,6
strategic,6
workforce,6
taking,6
stated,6
own,6
pac,6
effectiveness,6
differ,6
insurance,6
communications,6
institutions,6
losses,6
beyond,6
class,6
years,6
subsidiaries,6
needs,6
upon,6
loan,6
philanthropy,6
clear,6
common,6
among,6
need,6
forced,6
stakeholder,6
types,6
presented,6
opinion,6
category,6
core,6
reviewed,6
levels,6
mechanisms,6
sources,6
around,6
investor,6
facilities,6
minority,6
officer,6
council,6
pricing,6
operate,6
governments,6
principal,6
updated,6
continued,6
options,6
gender,6
professional,6
grants,6
inclusive,5
outside,5
election,5
trust,5
february,5
benefit,5
consumer,5
incentives,5
conditions,5
chief,5
financially,5
example,5
takes,5
general,5
