Citi words,frequency
and,3241
the,2662
our,1556
citi,1210
for,933
with,582
risk,573
esg,524
that,471
management,452
business,381
sustainable,379
report,351
are,339
rights,334
human,328
climate,306
progress,299
communities,291
environmental,278
this,254
responsible,252
diversity,252
talent,240
global,234
from,226
have,224
resilient,212
equitable,204
more,202
related,192
which,186
financial,184
social,183
their,182
finance,179
appendices,177
employees,176
contents,175
risks,169
clients,168
also,151
including,144
new,143
other,143
principles,143
work,141
will,140
these,138
its,135
racial,130
through,130
has,127
all,127
governance,127
financing,126
policy,124
operations,118
equity,117
commitment,117
impact,116
approach,116
information,114
data,113
sustainability,113
goals,113
development,112
action,112
services,108
support,106
issues,105
impacts,105
goal,102
how,102
energy,102
reporting,99
engagement,99
carbon,97
company,96
not,96
bank,94
emissions,93
across,92
year,91
efforts,91
help,90
change,90
practices,88
esrm,88
activities,87
suppliers,87
about,87
team,86
low,85
than,83
businesses,83
covid,83
strategy,82
during,82
statement,82
total,82
program,81
banking,81
material,81
women,81
billion,79
project,79
policies,79
such,78
can,78
opportunities,78
credit,76
working,76
community,76
section,75
transition,75
where,74
well,74
economic,74
they,74
affordable,74
framework,73
part,72
million,72
were,72
performance,71
employee,71
standards,71
based,70
access,70
provide,69
housing,69
water,69
into,69
was,68
green,68
training,68
ghg,68
products,67
black,67
public,67
people,66
number,65
customers,65
conduct,64
one,64
building,64
stakeholders,64
bond,63
corporate,63
projects,63
see,63
client,63
key,63
areas,62
capital,61
addition,61
ethics,60
over,60
first,60
sector,59
each,58
industry,58
diverse,57
committee,57
analysis,56
level,56
code,56
use,56
supplier,56
due,55
high,55
culture,55
assessment,54
colleagues,54
companies,54
been,54
transactions,54
senior,53
years,53
processes,53
coal,53
scope,53
respect,52
many,52
requirements,52
anti,52
include,52
pandemic,51
globally,51
solutions,51
owned,51
targets,50
address,50
world,50
while,50
continue,50
loans,49
concerns,49
board,49
increase,49
future,48
most,48
managing,47
when,47
health,47
pages,47
who,47
zero,46
group,46
net,46
countries,46
end,46
renewable,46
small,46
page,46
those,45
sectors,45
challenges,45
power,45
programs,45
any,45
evaluation,44
them,44
stakeholder,43
institutions,43
supply,43
decisions,43
facilities,43
ensure,43
value,42
salient,42
established,42
target,42
time,42
against,41
engage,41
plan,41
waste,41
foundation,41
significant,41
long,41
what,41
markets,41
two,41
annual,41
under,40
respecting,40
market,40
within,40
gas,40
need,40
america,40
sdg,40
disclosures,39
international,39
gri,39
priorities,39
potential,39
chain,39
focused,39
review,39
additional,39
initiatives,39
compensation,39
operational,38
organization,38
economy,38
mining,37
inclusive,37
includes,37
provides,37
make,37
term,37
provided,37
implementation,37
growth,36
quantitative,36
context,36
launched,36
made,36
quality,36
inclusion,36
following,36
resources,36
gender,35
providing,35
set,35
does,35
relevant,35
committed,35
ongoing,35
process,34
local,34
specific,34
safety,34
response,34
color,34
diligence,34
day,34
internal,34
best,34
teams,34
disclosure,33
customer,33
better,33
positive,33
pay,33
further,33
may,33
external,33
included,33
learn,33
leadership,33
around,33
footprint,33
reduction,33
example,32
environment,32
identify,32
focus,32
meet,32
own,32
minority,32
develop,32
reduce,32
consumption,32
index,32
consumer,32
female,31
representation,31
topic,31
minorities,31
serve,31
fund,31
firm,31
place,31
income,31
line,31
electricity,31
led,30
executive,30
equator,30
actions,30
biodiversity,30
security,30
labor,30
portfolio,30
partners,30
core,30
region,30
identified,29
reviews,29
promote,29
achieve,29
role,29
united,29
documentation,29
workforce,29
gap,29
your,29
early,28
ethical,28
using,28
oil,28
throughout,28
several,28
criteria,28
sourcing,28
strengthen,27
ceo,27
increasing,27
expand,27
three,27
assurance,27
society,27
plans,27
initiative,27
but,27
period,27
needs,27
citigroup,27
protecting,27
virtual,27
associated,27
there,27
being,27
technology,27
lending,27
chief,27
regulatory,26
managers,26
sgs,26
roles,26
organizations,26
legal,26
making,26
head,26
boundary,26
officer,26
private,26
build,26
drive,26
continued,26
agreement,25
strategic,25
office,25
buildings,25
oversight,25
only,25
non,25
both,25
since,25
exposure,25
out,25
increased,25
affairs,25
understand,25
inc,25
standard,25
banks,25
emerging,24
take,24
infrastructure,24
compliance,24
construction,24
identifying,24
investments,24
expanded,24
full,24
digital,24
privacy,24
investment,24
used,24
developed,24
available,24
wide,24
result,24
verification,24
area,24
facility,24
important,23
events,23
discrimination,23
opportunity,23
scale,23
components,23
systems,23
improve,23
references,23
alignment,23
issue,23
card,23
corruption,23
principle,23
results,23
baseline,23
paris,23
ing,23
least,23
members,23
control,23
tcfd,23
worked,22
category,22
country,22
every,22
responsibility,22
joined,22
fair,22
accounting,22
indigenous,22
manage,22
gwh,22
four,22
innovation,22
proxy,22
toward,22
accounts,22
investing,22
leed,22
directors,22
laws,22
employment,22
independent,22
tax,21
network,21
wealth,21
linked,21
effective,21
some,21
efficiency,21
supporting,21
race,21
transaction,21
aims,21
developing,21
issuance,21
responsibly,21
table,21
pacific,20
fired,20
topics,20
thermal,20
range,20
enable,20
regarding,20
explanation,20
bonds,20
critical,20
creating,20
ability,20
north,20
equal,20
metric,20
believe,20
clean,20
changes,20
align,20
generation,20
addressing,20
capacity,20
created,20
largest,20
greenhouse,20
personal,20
examples,20
youth,20
should,20
assess,20
transparency,19
procedures,19
workers,19
gaps,19
safe,19
had,19
york,19
types,19
reducing,19
guidance,19
bribery,19
leaders,19
africa,19
physical,19
benefits,19
needed,19
maintain,19
implementing,19
announced,19
self,19
current,19
share,19
national,19
education,19
certified,19
between,19
close,19
nature,19
negative,19
levels,19
below,18
modern,18
various,18
others,18
commitments,18
activity,18
individuals,18
metrics,18
implement,18
middle,18
system,18
way,18
home,18
updated,18
paid,18
able,18
loan,18
ways,18
multiple,18
europe,18
lead,18
show,18
groups,18
account,18
appropriate,18
charter,18
protect,18
encourage,18
cities,18
tion,18
amount,18
asia,17
hires,17
force,17
forward,17
slavery,17
applicable,17
initial,17
five,17
nations,17
invest,17
guiding,17
job,17
workplace,17
latin,17
previous,17
materials,17
mission,17
reports,17
tool,17
fairly,17
consistent,17
put,17
offer,17
proceeds,17
website,17
justice,17
learning,17
tools,17
describe,17
whether,17
experience,16
could,16
possible,16
capabilities,16
controls,16
equivalent,16
advisory,16
ment,16
skills,16
works,16
just,16
executives,16
issued,16
equality,16
helps,16
after,16
directly,16
identity,16
transportation,16
professional,16
engaging,16
existing,15
publicly,15
highest,15
partnership,15
particularly,15
political,15
money,15
understanding,15
sdgs,15
excellence,15
resilience,15
last,15
direct,15
create,15
solar,15
enabling,15
discloses,15
collaboration,15
statements,15
peoples,15
certification,15
become,15
poseidon,15
recommendations,15
evaluate,15
mitigate,15
because,15
east,15
regulations,15
percentage,15
planning,15
center,15
investors,15
annually,15
city,15
leading,15
contribute,15
fuel,15
reported,15
participated,15
would,15
task,15
enhance,15
extending,15
among,15
record,15
protection,15
institution,15
accountability,15
greater,15
discussion,14
advancing,14
vice,14
required,14
completed,14
disclose,14
even,14
transformation,14
right,14
now,14
location,14
factors,14
behavior,14
campaign,14
particular,14
enterprise,14
strong,14
conducted,14
title,14
partnerships,14
designed,14
regulators,14
intensive,14
association,14
natural,14
design,14
aml,14
effort,14
advance,14
general,14
racism,14
relief,14
product,14
monitoring,14
portfolios,14
pathways,14
active,14
expectations,14
regional,14
towards,14
loss,14
retention,14
quickly,14
third,14
affected,14
found,13
crisis,13
integrate,13
basis,13
certain,13
next,13
institutional,13
know,13
alliance,13
trade,13
regions,13
designated,13
scenario,13
achieved,13
importance,13
measures,13
underserved,13
expanding,13
model,13
ever,13
life,13
respond,13
track,13
cybersecurity,13
defined,13
minimum,13
volunteer,13
december,13
land,13
council,13
relationships,13
enhanced,13
voice,13
above,13
recovery,13
measure,13
broader,13
operate,13
scenarios,13
real,13
investigations,13
values,13
aim,13
safeguarding,13
summary,13
effectively,13
covered,13
meetings,13
overall,13
fairness,13
began,13
receive,12
male,12
evolving,12
beyond,12
central,12
like,12
together,12
expertise,12
recent,12
addressed,12
facilitate,12
hosted,12
taking,12
trust,12
jane,12
service,12
relationship,12
consent,12
calls,12
distribution,12
member,12
latino,12
vulnerable,12
strategies,12
raw,12
collective,12
care,12
mental,12
different,12
governments,12
functions,12
securities,12
government,12
prior,12
purpose,12
read,12
marketing,12
units,12
offering,12
fraud,12
another,12
proceedings,12
remedy,12
conservation,12
crq,12
career,12
interests,12
update,12
methodology,12
accordance,12
decent,11
unprecedented,11
assessing,11
sustain,11
took,11
ensuring,11
success,11
ngpac,11
driving,11
site,11
enables,11
young,11
however,11
often,11
consider,11
frameworks,11
sources,11
event,11
indicators,11
remuneration,11
embedded,11
series,11
past,11
subtotal,11
consumers,11
objectives,11
served,11
robust,11
major,11
still,11
type,11
innovative,11
aligned,11
average,11
mitigation,11
order,11
continues,11
setting,11
whose,11
reduced,11
doing,11
content,11
meeting,11
ties,11
must,11
months,11
nomination,11
competitive,11
description,11
changing,11
monitor,11
assets,11
deliver,11
expect,11
january,11
societal,11
sanctions,11
president,11
assertion,11
heritage,11
awareness,11
essential,11
hispanic,11
score,11
body,11
highlights,11
systemic,11
released,11
supported,11
compared,11
serving,11
travel,11
large,11
lessons,11
tions,11
mobility,11
before,11
act,11
impacted,11
instance,11
approximately,11
funding,11
dedicated,11
racist,11
mexico,10
forced,10
platform,10
partner,10
summer,10
incorporated,10
operating,10
escalation,10
retail,10
issuer,10
comprehensive,10
transforming,10
participation,10
involved,10
steering,10
remote,10
recruiting,10
technologies,10
outcomes,10
comply,10
responding,10
same,10
severe,10
median,10
free,10
require,10
eligible,10
helping,10
person,10
despite,10
families,10
personnel,10
base,10
fraser,10
tied,10
implemented,10
orders,10
tnfd,10
updates,10
broker,10
source,10
incentive,10
director,10
helped,10
leave,10
online,10
looking,10
apply,10
communications,10
adverse,10
guide,10
american,10
bold,10
entrepreneurs,10
matters,10
paper,10
challenge,10
actual,10
contributes,10
procurement,10
individual,10
reflect,10
losses,9
hiring,9
offered,9
locations,9
hold,9
ourselves,9
integrity,9
party,9
necessary,9
compact,9
underwriting,9
incidents,9
covers,9
candidates,9
commit,9
remotely,9
regular,9
purposes,9
scdis,9
production,9
headquarters,9
leverage,9
treating,9
determined,9
pcaf,9
published,9
air,9
resource,9
taken,9
renovation,9
dealers,9
laundering,9
clear,9
stronger,9
materiality,9
branches,9
raised,9
recently,9
engaged,9
learned,9
outside,9
whole,9
urgent,9
operation,9
knowledge,9
trends,9
pacta,9
protocol,9
reach,9
allows,9
short,9
contributions,9
sole,9
yet,9
integrated,9
signatory,9
nearly,9
firearms,9
child,9
date,9
visit,9
good,9
explore,9
americans,9
longer,9
october,9
especially,8
decarbonization,8
proposition,8
top,8
previously,8
step,8
always,8
engagements,8
relevance,8
facing,8
perspectives,8
complete,8
complaints,8
raise,8
achieving,8
research,8
chains,8
informal,8
pilot,8
less,8
extensive,8
firms,8
regularly,8
offices,8
features,8
investor,8
week,8
palm,8
fees,8
pre,8
received,8
staff,8
freedom,8
intelligence,8
numbers,8
landscape,8
measuring,8
transparent,8
founded,8
maritime,8
accelerate,8
developers,8
monetary,8
upon,8
sourced,8
debt,8
categories,8
intensity,8
hame,8
grupo,8
although,8
shared,8
supplement,8
solution,8
landfill,8
why,8
regardless,8
supports,8
limited,8
scorecards,8
launch,8
considered,8
practice,8
having,8
specifically,8
function,8
hotline,8
find,8
second,8
improved,8
otherwise,8
turnover,8
conversations,8
subject,8
might,8
networks,8
populations,8
common,8
league,8
likely,8
priority,8
affinity,8
commercial,8
train,8
additionally,8
lines,8
state,8
stated,8
concern,8
nongovernmental,8
recycled,8
gps,8
acquisition,8
fully,8
productive,8
prohibits,8
programme,7
unep,7
indirect,7
homeownership,7
funded,7
discussed,7
kind,7
six,7
offers,7
industrial,7
circular,7
bike,7
analyst,7
inform,7
environ,7
treat,7
prevent,7
payments,7
conditions,7
breaches,7
street,7
play,7
testing,7
course,7
became,7
vaccine,7
medical,7
incorporation,7
relations,7
cost,7
emission,7
asian,7
ppp,7
operates,7
agency,7
maintaining,7
quarterly,7
findings,7
variable,7
girls,7
discuss,7
receives,7
held,7
jobs,7
diversion,7
manager,7
did,7
letter,7
participants,7
greatest,7
assistance,7
corporation,7
anticipate,7
advisor,7
worldwide,7
reinforce,7
exclusively,7
unit,7
perfor,7
mance,7
influence,7
secure,7
selling,7
without,7
states,7
