JPM words,frequency
and,1542
the,1063
our,755
for,349
with,257
that,220
are,218
business,188
firm,184
risk,132
financial,131
climate,120
chase,116
more,114
employees,112
their,111
have,107
report,101
social,99
this,99
including,98
which,97
also,96
customers,95
environmental,95
development,94
jpmorgan,94
through,92
management,91
energy,89
communities,88
these,88
support,87
carbon,85
help,85
governance,82
new,81
over,77
from,76
will,75
community,74
capital,73
clients,71
global,70
emissions,68
across,67
other,66
risks,66
has,64
million,63
low,63
well,62
sustainable,61
how,58
sustainability,58
than,56
services,56
black,55
program,55
work,55
transition,54
businesses,54
economic,53
information,52
health,52
solutions,51
efforts,51
commitment,50
provide,50
year,49
housing,49
esg,48
related,48
investment,48
corporate,47
billion,47
impact,47
equity,46
about,46
small,45
advance,45
change,44
focused,43
financing,43
addition,43
access,43
programs,43
all,42
data,42
based,42
diverse,40
banking,40
such,40
opportunities,39
needs,39
pandemic,39
credit,38
companies,37
approach,37
affordable,37
policy,36
can,36
products,36
part,35
additional,35
covid,35
goals,35
key,35
one,34
them,34
scope,34
market,34
operations,34
finance,33
impacts,33
green,33
drive,33
its,33
paris,33
policies,33
women,32
strategy,32
working,32
underserved,32
renewable,32
world,32
years,31
they,31
supporting,31
income,31
who,31
include,30
sector,30
into,30
latinx,30
sectors,30
most,30
time,30
focus,29
wealth,29
committed,29
those,29
example,29
changes,29
building,29
public,29
make,28
strategies,28
important,28
conduct,27
range,27
use,27
term,27
standards,27
approximately,27
racial,27
practices,27
diversity,27
inclusion,27
owned,27
build,26
long,26
portfolio,26
economy,26
resources,26
company,26
includes,26
see,26
loans,26
need,26
career,25
inclusive,25
travel,25
helping,25
not,25
each,25
were,25
during,25
physical,24
opportunity,24
significant,24
people,24
power,24
targets,24
many,24
technology,24
training,24
could,23
expertise,23
within,23
entrepreneurs,23
five,23
manage,23
investing,23
organizations,23
stakeholders,23
providing,23
human,23
asset,23
board,23
where,23
households,23
potential,23
growth,23
identify,22
serve,22
groups,22
provides,22
page,22
both,22
electricity,22
customer,22
committee,21
team,21
