SSB words,frequency
and,2122
the,1659
our,1019
state,681
street,678
esg,540
for,429
report,358
with,357
that,345
are,287
risk,287
climate,232
global,228
business,209
management,208
employees,199
investment,183
their,174
this,158
risks,158
data,145
have,137
information,134
financial,123
all,120
clients,117
fund,115
from,114
related,114
companies,113
employee,110
reporting,106
not,105
asset,103
diversity,103
material,102
services,102
change,100
corporate,99
which,98
governance,98
environmental,98
including,95
other,94
these,93
company,89
equity,88
also,85
issues,85
team,85
its,85
board,84
across,82
long,82
approach,82
term,81
more,81
index,81
energy,81
through,81
program,80
committee,76
compliance,75
operations,75
total,75
development,74
work,74
well,73
goals,71
they,70
portfolio,70
impact,70
year,69
emissions,69
engagement,69
based,68
stewardship,68
provide,67
has,67
value,66
any,66
sustainability,66
non,65
strategy,64
support,64
new,64
activities,63
scope,63
conduct,61
into,61
technology,61
opportunities,61
impacts,60
performance,60
carbon,60
policy,60
human,59
includes,57
gri,57
will,55
standards,55
topic,54
assets,54
advisors,54
social,54
policies,53
screened,52
such,52
help,51
efforts,51
responsible,50
how,50
process,50
can,50
part,50
may,49
within,49
time,48
specific,47
market,46
programs,46
review,45
stakeholders,45
security,45
each,44
working,43
world,43
framework,43
include,43
factors,42
communities,42
gender,42
talent,42
key,42
was,41
leadership,41
products,41
responsibility,41
better,40
investors,40
ghg,40
diverse,40
focus,40
potential,39
around,39
training,39
than,39
where,39
assurance,39
sustainable,39
them,39
anti,38
inclusion,38
systems,38
were,38
disclosures,38
due,38
industry,38
best,37
tcfd,37
water,37
operational,37
liquidity,36
organization,36
covid,36
waste,36
processes,35
executive,35
those,35
commitment,35
manage,35
strategies,34
regarding,34
against,34
understand,34
addition,34
sasb,34
capital,34
regulatory,33
group,33
provides,33
rights,33
ensure,33
percentage,33
high,33
committed,32
investing,32
corruption,32
managers,32
own,32
practices,32
level,32
client,31
voting,31
markets,31
solutions,31
when,31
use,31
topics,31
culture,31
footprint,31
while,31
organizations,30
see,30
research,30
relevant,30
following,30
boards,30
portfolios,30
oversight,30
internal,30
trust,30
credit,30
who,30
both,29
foundation,29
continue,29
focused,29
percent,29
being,29
direct,29
continued,29
make,28
under,28
globally,28
learning,28
been,28
local,28
reduction,28
workforce,28
directors,28
guidelines,27
senior,27
black,27
three,27
whether,27
projects,27
per,27
one,27
women,27
address,27
legal,27
emerging,27
recycling,26
over,26
metrics,26
teams,26
important,26
engage,26
physical,26
action,26
proxy,26
annual,26
third,25
two,25
overall,25
needs,25
female,25
but,25
goal,25
years,24
environment,24
number,24
most,24
sub,24
during,24
excellence,24
objectives,24
supply,24
made,24
associated,24
progress,24
external,24
class,23
volunteer,23
decision,23
meet,23
standard,23
metric,23
role,23
ways,23
resources,23
capabilities,23
should,23
renewable,23
future,23
regulations,22
assessment,22
ssga,22
indirect,22
create,22
result,22
education,22
infrastructure,22
low,22
day,22
making,22
investments,22
community,22
offer,22
procedures,22
identify,22
four,22
suppliers,22
analysis,22
line,22
greater,22
usage,22
ability,22
professional,21
first,21
invest,21
officer,21
core,21
chain,21
providing,21
employment,21
innovation,21
racial,21
erm,21
results,21
common,21
active,21
disclosure,21
travel,21
privacy,21
about,21
racism,21
pandemic,21
matters,21
principles,21
loss,21
initiatives,21
awareness,20
take,20
areas,20
managing,20
helping,20
designed,20
pay,20
monitoring,20
strategic,20
lending,20
recs,20
category,20
enterprise,20
quality,20
members,20
accordance,20
does,20
investor,20
exposure,20
available,19
range,19
levels,19
initiative,19
requirements,19
frameworks,19
united,19
labor,19
factor,19
skills,19
further,19
wide,19
service,19
serve,19
virtual,19
effective,19
economic,19
access,19
decisions,19
end,18
building,18
independent,18
full,18
rate,18
office,18
possible,18
audit,18
compact,18
fuel,18
set,18
improve,18
many,18
way,18
must,18
promote,17
enable,17
meetings,17
evaluation,17
plan,17
develop,17
materiality,17
she,17
some,17
latinx,17
power,17
boston,17
health,17
director,17
could,17
large,17
controls,17
enhance,17
managed,17
country,16
strong,16
funds,16
businesses,16
greenhouse,16
using,16
assess,16
gas,16
partners,16
vice,16
different,16
events,16
bribery,16
hours,16
used,16
basis,16
out,16
below,16
nonprofit,16
people,16
party,16
representation,16
what,16
drive,16
added,16
inclusive,16
returns,16
throughout,16
success,16
additional,15
network,15
competitive,15
cybersecurity,15
reducing,15
engagements,15
challenges,15
consumption,15
benefits,15
servers,15
transition,15
significant,15
opportunity,15
electricity,15
providers,15
increase,15
etf,15
regularly,15
chief,15
equal,15
balance,15
grant,15
owned,15
public,15
measure,15
platform,15
reduce,15
securities,15
actions,15
values,15
analytics,15
since,15
protection,14
amount,14
presented,14
five,14
custody,14
reports,14
variety,14
servicing,14
regular,14
functions,14
absolute,14
engaged,14
laws,14
effectiveness,14
open,14
growth,14
included,14
operating,14
only,14
leaders,14
driven,14
institutional,14
improving,14
product,14
creation,14
monitor,14
spdr,14
million,14
income,14
toward,14
supporting,14
there,14
tons,14
communication,14
committees,14
flexible,13
measures,13
leading,13
directly,13
shareholders,13
every,13
evaluate,13
area,13
various,13
interest,13
intensity,13
believe,13
partner,13
live,13
hold,13
december,13
networks,13
target,13
actively,13
provided,13
europe,13
period,13
defense,13
funding,13
president,13
response,13
centers,13
retention,13
location,13
supplier,13
herein,13
center,13
appropriate,13
tax,13
consistent,13
transparency,13
ethical,13
between,13
characteristics,13
corporation,13
developed,12
component,12
countries,12
ceo,12
stress,12
directive,12
targets,12
helps,12
criteria,12
tools,12
personal,12
upon,12
categories,12
implementing,12
principle,12
